Quote_Id,Quote_Flag,PAR_SMOTE_RF_IG_15,AGG_SMOTE_RF_IG_15,PAR_SMOTE_RF_IG_21,AGG_SMOTE_RF_IG_21,PAR_EQ_RF_IG_15,AGG_EQ_RF_IG_15,PAR_AGG_RF_IG_21,AGG_EQ_RF_IG_21,PAR_SMOTE_DT_IG_15,AGG_SMOTE_DT_IG_15,PAR_SMOTE_DT_IG_21,AGG_SMOTE_DT_IG_21
1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,1,0,0,1,0,1,0,0,0,1
5,1,0,0,1,0,0,0,0,1,0,0,1,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,1,1,0,1,1,1,0,1,1,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,1,1,0,1,1,1,1,1,1,0,0
53,1,1,1,1,0,1,1,1,1,1,1,1,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,1,1,1,0,1,1,1,1,1,1,0,1
63,1,1,1,1,1,1,1,0,0,0,0,1,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,1,1,1,1,1,1,1,1,1,1,0,1
71,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,1,1,1,1,1,1,1,1,1,1,0,1
86,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1
93,1,0,0,1,0,0,0,0,0,0,0,0,0
94,1,1,1,1,1,1,1,0,1,1,1,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,1,1,1,0,1,1,0,1,0,0,1,1
98,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,1,1,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1,1,1,1
108,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,1,1,1,0,1,1,1,0,1,1,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,0,0,1,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,1,1,1,1,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,1,1,1,1,0
124,1,1,1,1,0,1,1,0,1,1,1,1,1
126,1,1,1,1,0,1,1,0,0,1,1,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,1,1,1,1,1,1,1,1,1,1,0,1
141,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,1,0,1,0,1,1,1,1,1,1,0,0
144,1,1,1,1,1,1,1,1,1,1,1,1,1
146,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,0,0,0,0,0,0,0,0,0,0,0,0
155,1,1,1,1,1,1,1,1,1,1,1,1,1
156,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,1,1,1,0,1,1,1,1,1,1,0,0
170,1,1,1,1,1,1,1,1,1,1,1,1,1
172,1,1,1,1,0,1,1,1,0,1,1,1,1
175,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,1,1,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1,1,1,1,1,1,1,1,1,1,1,1,1
194,1,1,1,1,0,1,1,1,1,1,1,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1,1,1,1,1,1,1,1,0,1,1,0,1
204,1,0,0,1,0,1,1,1,1,0,1,1,1
205,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1,1,1,1,0,1,1,0,1,1,1,1,1
218,0,0,0,0,0,0,0,0,0,0,0,0,0
219,1,1,1,1,0,1,1,1,1,1,1,0,1
225,1,1,1,1,0,1,1,1,1,1,1,0,1
229,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1,1,1,1,0,1,1,1,1,1,1,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1,1,1,1,1,1,1,1,0,1,1,0,1
240,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1,1,1,1,0,1,1,1,1,1,1,1,1
264,0,0,0,0,0,0,0,0,0,0,0,0,0
272,1,1,1,1,1,1,1,1,1,1,1,1,1
276,1,0,0,1,0,0,0,1,0,0,0,0,1
277,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,1,1,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0
298,1,1,1,1,0,1,1,1,1,1,1,0,1
300,1,1,1,1,1,1,1,1,1,1,1,1,1
302,0,0,0,0,0,0,0,0,0,1,0,0,0
308,1,0,0,1,1,0,0,0,1,1,1,0,1
310,1,1,1,1,1,1,1,1,1,1,1,0,1
313,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1,0,0,1,0,0,0,0,0,0,0,0,1
315,1,1,1,1,0,1,1,1,1,1,1,0,1
319,1,1,1,1,1,1,1,1,1,0,1,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0
336,1,1,1,1,1,1,1,1,1,1,1,1,1
338,0,0,0,0,0,0,0,0,0,0,0,0,0
339,1,1,1,1,0,1,1,1,1,1,1,1,1
341,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,1,1,1,0,1,1,1,1,1,1,1,1
347,0,0,0,0,0,0,0,0,0,0,0,1,0
349,1,1,1,1,1,1,1,1,1,1,1,0,0
352,1,1,1,1,1,1,1,1,1,1,1,1,1
353,0,0,0,0,0,0,0,0,0,0,0,0,0
356,1,1,1,1,0,1,1,1,1,1,1,0,0
357,1,0,0,1,0,1,1,1,1,0,0,1,1
358,1,1,1,1,0,1,1,1,1,1,1,1,1
360,1,1,1,1,1,1,1,1,1,1,1,0,1
361,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1,0,0,1,0,0,0,0,0,0,0,0,1
368,1,1,1,1,1,1,1,1,1,1,1,1,1
370,1,1,0,1,0,0,0,0,0,0,0,0,0
372,1,1,1,1,1,1,1,1,1,1,1,0,1
374,1,1,1,1,0,1,1,0,1,1,1,1,1
375,1,0,0,1,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0
382,1,1,1,1,0,1,1,1,1,1,1,1,1
384,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0,0,0
406,1,1,1,1,0,1,1,1,1,1,0,1,1
409,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0,0
416,1,1,0,1,0,1,1,1,1,1,0,0,1
425,0,0,0,0,0,0,0,0,0,0,0,0,0
427,1,0,0,1,0,0,0,0,0,0,0,0,1
434,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0
442,1,1,1,1,1,1,1,1,1,1,1,1,1
443,1,1,1,1,0,1,1,1,1,1,1,1,1
446,1,1,1,1,0,1,1,1,0,0,0,0,1
447,0,1,1,1,0,1,1,1,1,1,1,1,0
449,0,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0,0,0,0
461,1,1,1,1,0,1,1,1,1,1,1,0,0
465,0,0,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0,0,0,0
476,1,1,1,1,1,1,1,1,1,1,1,1,1
477,0,0,0,0,0,0,0,0,0,0,0,0,0
485,1,0,0,0,0,0,0,0,0,0,0,0,0
488,1,1,1,1,1,1,1,1,1,1,1,1,1
496,1,1,1,1,0,1,1,1,0,0,1,1,1
497,0,0,0,0,0,0,0,0,0,0,0,0,0
498,1,0,0,0,0,0,0,0,0,0,0,0,0
500,1,1,1,1,0,1,1,1,1,1,1,1,1
503,1,0,0,1,0,0,1,1,1,0,0,0,1
504,0,1,0,0,0,0,0,0,0,1,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,0,0
510,1,1,1,1,1,1,1,1,1,1,1,1,1
521,1,1,1,1,0,1,1,1,1,1,1,1,1
525,0,0,0,0,0,0,0,0,0,0,0,0,0
527,1,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0,0,0
536,1,0,0,1,0,0,0,0,0,0,0,0,1
537,0,0,0,0,0,0,0,0,0,0,0,0,0
538,0,0,0,1,0,0,0,0,1,0,1,0,0
539,0,0,0,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,0,0,0,0,0
546,1,1,1,1,0,1,1,1,0,1,1,0,0
550,0,0,0,0,0,0,1,1,0,1,1,0,0
551,0,0,0,0,0,0,0,0,0,0,0,0,0
563,1,1,1,1,1,1,1,1,1,1,1,1,1
564,1,0,0,1,0,0,0,0,0,0,0,1,1
565,0,0,0,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0,0,0,0
568,1,1,1,1,1,1,1,1,1,1,1,1,0
569,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0,0,0,0
571,1,0,1,1,1,0,0,1,1,0,1,0,1
573,1,1,1,1,1,1,1,1,1,1,1,1,1
576,0,0,0,0,0,0,0,0,0,1,0,0,0
577,0,0,0,0,0,0,0,0,0,0,0,0,0
579,1,0,0,1,0,0,0,1,0,1,1,1,1
580,1,1,1,1,1,1,1,1,1,1,1,1,1
584,0,0,0,0,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0
591,1,0,1,1,0,0,1,0,0,1,0,1,1
593,1,1,1,1,0,1,1,1,1,1,1,0,0
594,0,0,0,0,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0,0,0,0
605,1,1,1,1,1,1,1,1,1,1,1,1,1
606,1,1,1,1,1,1,1,1,1,1,1,1,1
607,1,1,1,1,1,1,1,1,1,1,1,1,1
613,0,0,0,1,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0,0,0,0,0
618,1,1,1,1,1,1,1,1,1,1,1,1,1
619,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0
624,1,1,1,1,1,1,1,1,1,1,1,1,1
625,0,0,0,0,0,0,0,0,0,0,0,0,0
629,1,1,1,1,1,1,1,1,1,0,1,1,1
630,0,0,0,0,0,0,0,0,0,0,0,0,0
631,1,1,1,1,1,1,1,1,1,1,1,1,1
635,1,0,0,0,1,0,0,0,1,0,1,0,0
637,1,0,0,1,0,0,0,1,0,0,1,1,1
638,0,0,0,0,0,0,0,1,1,0,0,0,0
643,0,0,0,0,0,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0,1,0,0,1,1
647,0,1,1,1,0,1,1,1,1,1,1,0,0
649,0,0,0,0,0,0,0,0,0,0,0,0,0
651,1,1,1,1,0,1,1,1,1,1,1,0,0
654,0,0,0,0,0,0,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0,0,0,0,0,0,0
661,1,1,1,1,1,1,1,1,1,1,1,1,1
670,0,0,1,0,0,0,0,0,0,0,0,0,0
671,0,0,0,0,0,0,0,0,0,0,0,0,0
672,0,0,0,0,0,0,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0,0,0,0,0,0
678,0,0,0,0,0,0,0,0,0,0,0,0,0
680,1,1,1,1,1,1,1,1,1,1,1,1,1
684,0,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0,0
692,1,1,1,1,0,1,1,1,1,1,1,1,1
697,1,1,1,1,1,1,1,1,1,1,1,1,1
698,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,0,0,0,0
701,1,1,1,1,1,1,1,1,1,1,1,1,1
704,0,0,0,0,0,0,0,0,0,0,0,0,0
705,1,1,1,1,1,1,1,1,1,1,1,1,1
706,0,0,0,0,0,0,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0,0,0,0,0,1,0
709,1,1,1,1,0,1,1,1,1,1,1,0,0
712,1,1,1,1,0,1,1,1,1,1,1,1,1
715,0,0,0,0,0,0,0,0,0,0,0,0,0
719,1,1,1,1,0,1,1,1,1,0,0,0,1
723,1,1,1,1,1,1,1,1,1,1,1,1,1
725,0,0,0,0,0,0,0,0,0,0,0,0,0
727,0,0,0,0,0,0,0,0,0,0,0,0,0
728,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,0,0,0,0,0,0,0,0,0,0,1,0
730,1,1,1,1,1,1,1,1,1,1,1,1,1
731,0,0,0,0,0,0,0,0,0,0,0,0,0
732,1,1,1,1,0,1,1,0,1,1,1,1,1
735,1,0,0,1,0,1,1,1,1,0,0,0,1
738,0,0,0,0,0,0,0,0,0,0,0,0,0
739,0,0,0,0,0,0,0,0,0,0,0,0,0
740,1,1,0,1,0,1,1,1,1,1,0,0,0
741,0,0,0,0,0,0,0,0,0,0,0,0,0
746,0,0,0,0,0,0,0,0,0,0,0,0,0
747,0,0,0,0,0,0,0,0,0,0,1,0,0
749,0,0,0,0,0,0,0,0,0,0,0,0,0
753,1,1,1,1,0,0,1,0,1,1,1,1,0
754,1,1,1,1,1,1,1,1,1,1,1,1,1
760,1,0,0,1,0,1,0,0,0,0,0,1,0
765,1,1,1,1,1,1,1,1,1,1,1,1,1
775,0,0,0,0,0,0,0,0,0,1,0,0,0
779,0,0,0,0,0,0,0,0,0,0,0,0,0
783,1,1,1,1,0,1,1,1,0,0,0,0,0
784,0,0,0,0,0,0,0,0,0,0,0,0,0
786,0,0,0,0,0,0,0,0,0,0,0,0,0
788,1,1,1,1,1,1,1,1,1,1,1,1,1
790,1,1,1,1,0,1,1,1,1,1,1,1,1
792,0,0,0,0,0,0,0,0,0,0,0,0,0
793,0,0,0,0,0,0,0,0,0,0,0,0,0
794,0,0,0,0,0,0,0,0,0,0,0,0,0
797,0,0,0,0,0,0,0,0,0,0,0,0,0
798,1,1,1,1,0,1,1,1,1,1,1,0,1
799,0,0,0,0,0,0,0,0,0,0,0,0,0
804,1,1,1,1,1,1,1,1,1,1,1,1,1
805,1,1,1,1,1,1,1,1,1,1,1,1,1
811,1,1,1,1,1,1,1,1,1,1,1,1,1
813,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,1,0,1,1,0,0
815,0,0,0,0,0,0,0,0,0,0,0,0,0
816,1,0,0,1,1,1,1,1,0,1,1,1,1
820,0,0,0,0,0,0,0,0,0,0,0,0,0
821,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0,0,0,0,0,0
823,1,0,0,1,1,0,0,0,0,0,0,0,0
824,0,0,0,0,0,0,0,0,0,0,0,0,0
825,1,0,0,0,0,0,0,1,0,0,0,0,0
826,1,1,1,1,0,1,1,1,1,1,1,0,1
827,1,1,1,1,0,1,1,1,1,1,1,1,1
828,0,0,0,0,0,0,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,0,0,0,0,0,0
832,1,1,1,1,1,1,1,1,1,1,1,1,1
835,0,0,0,0,0,0,0,0,0,0,0,0,0
836,1,0,0,1,0,0,0,0,1,0,0,1,1
837,0,0,0,0,0,0,0,0,0,0,0,0,0
839,1,1,1,1,0,1,1,1,1,1,1,0,0
840,1,1,1,1,1,1,1,1,1,1,1,1,1
844,1,1,1,1,1,1,1,1,1,1,0,1,1
847,0,0,0,0,0,0,0,0,0,0,0,0,0
851,0,0,0,0,0,0,0,0,0,0,0,0,0
856,0,0,0,0,0,0,0,0,0,0,0,0,0
861,0,0,0,0,0,1,0,0,1,1,1,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0,0,0,0
869,1,1,1,1,1,1,1,1,1,1,1,0,0
870,0,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,0
877,0,0,0,0,0,0,0,0,0,0,0,0,0
878,0,0,0,0,0,0,0,0,0,0,0,0,0
883,0,0,0,0,0,0,0,0,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0,0,0,0,0
887,1,1,1,1,1,1,1,1,1,1,1,1,1
888,0,0,0,0,0,0,0,0,0,0,0,0,0
889,0,0,0,0,0,0,0,0,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,0,0,0
895,0,0,0,0,0,0,0,0,0,0,0,0,0
905,0,0,0,0,0,0,0,0,0,0,0,0,0
908,0,0,0,0,0,0,0,0,0,0,0,0,0
909,0,0,0,0,0,0,0,0,0,0,0,0,0
910,0,0,0,0,0,0,0,0,0,0,0,0,0
912,0,0,0,0,0,0,0,0,0,0,0,0,0
916,1,0,0,0,0,0,0,0,0,0,0,0,0
918,0,0,0,0,0,0,0,0,0,0,0,0,0
921,1,1,1,1,0,1,1,1,1,1,1,0,1
924,1,1,1,1,0,1,1,1,1,1,1,1,1
925,1,1,1,1,1,1,1,1,1,1,1,1,0
927,0,0,0,0,0,0,0,0,0,0,0,0,0
928,0,0,0,0,0,0,0,0,0,0,0,0,0
929,1,1,0,1,1,1,1,1,1,0,1,1,1
930,1,1,1,1,0,1,1,1,0,1,1,0,1
931,0,0,0,0,0,0,0,0,0,0,0,0,0
933,1,1,1,1,0,1,1,1,1,1,1,1,1
936,0,0,0,0,0,0,0,0,0,0,0,0,0
