Quote_Id,Quote_Flag
1,0
4,1
5,1
7,0
8,0
11,0
15,0
19,0
20,0
22,0
34,1
36,0
38,0
39,1
44,0
47,0
53,1
54,0
58,0
61,0
62,1
63,1
64,0
65,0
70,1
71,0
76,1
79,0
83,1
86,0
88,1
90,1
93,0
94,0
95,1
96,0
97,1
98,0
104,1
107,1
108,0
110,0
111,0
113,0
114,0
118,0
120,1
123,0
124,1
126,0
127,0
132,0
133,0
134,0
137,0
138,1
141,0
142,0
144,1
146,0
147,0
148,0
149,0
155,1
156,0
164,0
169,0
170,1
172,1
175,0
177,0
182,0
188,0
190,0
192,1
194,0
199,0
201,1
204,1
205,0
209,0
210,0
211,0
213,0
217,1
218,0
219,1
225,1
229,0
230,0
232,0
233,0
235,0
238,1
240,0
246,0
260,0
263,1
264,0
272,1
276,1
277,0
279,0
283,0
284,0
285,0
290,0
292,0
293,0
298,1
300,1
302,0
308,1
310,1
313,0
314,1
315,1
319,0
320,0
321,0
325,0
326,0
329,0
331,0
336,1
338,0
339,1
341,0
345,0
346,1
347,0
349,0
352,1
353,0
356,0
357,1
358,1
360,1
361,0
365,0
366,1
368,1
370,0
372,1
374,1
375,0
376,0
381,0
382,1
384,0
388,0
391,0
392,0
393,0
398,0
403,0
405,0
406,1
409,0
411,0
415,0
416,1
425,0
427,1
434,0
437,0
439,0
440,0
441,0
442,1
443,1
446,1
447,0
449,0
451,0
453,0
454,0
461,0
465,0
469,0
474,0
476,1
477,0
485,0
488,1
496,1
497,0
498,0
500,1
503,1
504,0
508,0
509,0
510,1
521,1
525,0
527,0
532,0
533,0
536,1
537,0
538,0
539,0
544,0
546,0
550,0
551,0
563,1
564,1
565,0
566,0
568,0
569,0
570,0
571,1
573,1
576,0
577,0
579,1
580,1
584,0
585,0
586,0
591,1
593,0
594,0
604,0
605,1
606,1
607,1
613,0
615,0
616,0
617,0
618,1
619,0
621,0
622,0
624,1
625,0
629,1
630,0
631,1
635,0
637,1
638,0
643,0
645,1
647,0
649,0
651,0
654,0
655,0
661,1
670,0
671,0
672,0
675,0
678,0
680,1
684,0
688,0
692,1
697,1
698,0
700,0
701,1
704,0
705,1
706,0
708,0
709,0
712,1
715,0
719,1
723,1
725,0
727,0
728,1
729,0
730,1
731,0
732,1
735,1
738,0
739,0
740,0
741,0
746,0
747,0
749,0
753,0
754,1
760,0
765,1
775,0
779,0
783,0
784,0
786,0
788,1
790,1
792,0
793,0
794,0
797,0
798,1
799,0
804,1
805,1
811,1
813,0
814,0
815,0
816,1
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,1
828,0
831,0
832,1
835,0
836,1
837,0
839,0
840,1
844,1
847,0
851,0
856,0
861,0
862,0
863,0
869,0
870,0
874,0
877,0
878,0
883,0
886,0
887,1
888,0
889,0
892,0
895,0
905,0
908,0
909,0
910,0
912,0
916,0
918,0
921,1
924,1
925,0
927,0
928,0
929,1
930,1
931,0
933,1
936,0
940,0
941,0
943,0
944,0
947,0
948,0
960,0
962,1
965,0
966,1
967,0
970,0
975,0
976,1
977,0
978,1
981,0
984,1
985,1
986,0
987,1
988,0
993,0
995,0
999,0
1000,0
1006,0
1008,1
1010,1
1013,0
1014,0
1015,0
1016,0
1019,1
1021,0
1024,1
1025,1
1027,0
1032,0
1037,0
1039,1
1041,0
1042,1
1049,0
1050,0
1053,0
1055,1
1059,1
1062,1
1065,1
1066,0
1067,0
1074,1
1076,0
1077,1
1078,0
1080,0
1085,1
1088,0
1090,0
1092,0
1099,0
1100,0
1103,0
1105,0
1110,0
1111,0
1112,0
1113,1
1115,0
1116,1
1118,0
1119,1
1122,0
1124,0
1125,1
1129,0
1131,0
1133,1
1134,1
1149,0
1152,0
1156,0
1157,0
1158,0
1160,0
1162,0
1164,0
1165,1
1166,1
1169,0
1170,0
1172,0
1173,0
1174,0
1175,0
1178,0
1179,0
1180,1
1183,0
1187,1
1188,0
1191,1
1192,1
1193,0
1198,0
1199,0
1202,0
1204,0
1206,1
1209,1
1210,0
1218,0
1220,1
1225,0
1234,1
1235,1
1236,0
1238,1
1239,0
1240,0
1242,0
1243,1
1249,0
1251,0
1252,0
1257,0
1258,0
1271,0
1272,1
1279,0
1280,0
1281,0
1283,0
1287,0
1288,0
1289,0
1291,1
1293,1
1294,0
1295,0
1298,1
1299,0
1300,0
1301,0
1307,0
1309,1
1310,0
1313,0
1314,0
1315,1
1319,0
1320,0
1325,0
1326,1
1329,0
1331,0
1333,1
1335,1
1336,0
1340,1
1341,1
1344,0
1346,0
1351,1
1356,0
1359,0
1362,1
1363,1
1365,0
1366,1
1370,1
1372,1
1374,1
1375,1
1378,0
1380,1
1381,1
1386,1
1387,0
1393,1
1394,1
1395,0
1397,0
1398,0
1403,0
1404,1
1407,0
1409,0
1411,1
1413,0
1415,0
1416,0
1419,1
1420,0
1427,0
1429,0
1431,1
1435,1
1436,0
1437,0
1440,1
1444,0
1448,0
1450,0
1452,1
1462,0
1465,1
1468,0
1469,0
1470,0
1475,1
1476,1
1477,0
1480,0
1482,0
1483,1
1487,1
1489,1
1490,0
1495,0
1497,0
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1507,1
1508,1
1510,0
1511,0
1513,0
1515,0
1517,0
1519,0
1525,1
1529,0
1537,0
1538,0
1539,0
1542,0
1548,0
1549,0
1551,1
1552,1
1554,0
1555,1
1559,0
1560,0
1561,0
1568,0
1576,0
1579,0
1580,0
1581,0
1582,0
1584,0
1586,0
1587,0
1588,0
1589,1
1591,0
1592,1
1593,0
1595,0
1596,1
1600,0
1604,0
1605,0
1606,0
1608,0
1609,1
1611,1
1612,0
1613,0
1618,0
1621,1
1622,0
1623,0
1625,1
1630,0
1631,1
1633,0
